"team","year","payroll","win_num","win_pct"
"Arizona Diamondbacks","1998",31.6145,65,0.401234568
"Arizona Diamondbacks","1999",70.496,100,0.617283951
"Arizona Diamondbacks","2000",81.027833,85,0.524691358
"Arizona Diamondbacks","2001",81.206513,92,0.567901235
"Arizona Diamondbacks","2002",102.82,98,0.604938272
"Arizona Diamondbacks","2003",80.640333,84,0.518518519
"Arizona Diamondbacks","2004",70.204984,51,0.314814815
"Arizona Diamondbacks","2005",63.015834,77,0.475308642
"Arizona Diamondbacks","2006",59.684226,76,0.469135802
"Arizona Diamondbacks","2007",52.067546,90,0.555555556
"Arizona Diamondbacks","2008",66.202712,82,0.50617284
"Arizona Diamondbacks","2009",73.571667,70,0.432098765
"Arizona Diamondbacks","2010",60.718167,65,0.401234568
"Arizona Diamondbacks","2011",53.639833,94,0.580246914
"Arizona Diamondbacks","2012",74.284833,81,0.5
"Arizona Diamondbacks","2013",89.1005,81,0.5
"Arizona Diamondbacks","2014",112.688666,64,0.395061728
"Atlanta Braves","1998",61.708,106,0.654320988
"Atlanta Braves","1999",74.89,103,0.635802469
"Atlanta Braves","2000",84.537836,95,0.586419753
"Atlanta Braves","2001",91.851687,88,0.543209877
"Atlanta Braves","2002",93.470367,101,0.63125
"Atlanta Braves","2003",106.243667,101,0.62345679
"Atlanta Braves","2004",88.507788,96,0.592592593
"Atlanta Braves","2005",85.148582,90,0.555555556
"Atlanta Braves","2006",90.156876,79,0.487654321
"Atlanta Braves","2007",87.290833,84,0.518518519
"Atlanta Braves","2008",102.365683,72,0.444444444
"Atlanta Braves","2009",96.726167,86,0.530864198
"Atlanta Braves","2010",84.423667,91,0.561728395
"Atlanta Braves","2011",87.003192,89,0.549382716
"Atlanta Braves","2012",83.309942,94,0.580246914
"Atlanta Braves","2013",89.778192,96,0.592592593
"Atlanta Braves","2014",110.897341,79,0.487654321
"Baltimore Orioles","1998",71.860921,79,0.487654321
"Baltimore Orioles","1999",72.198363,78,0.481481481
"Baltimore Orioles","2000",81.447435,74,0.456790123
"Baltimore Orioles","2001",72.426328,63,0.391304348
"Baltimore Orioles","2002",60.493487,67,0.413580247
"Baltimore Orioles","2003",73.8775,71,0.438271605
"Baltimore Orioles","2004",51.212653,78,0.481481481
"Baltimore Orioles","2005",74.570539,74,0.456790123
"Baltimore Orioles","2006",72.585582,70,0.432098765
"Baltimore Orioles","2007",93.554808,69,0.425925926
"Baltimore Orioles","2008",67.196246,68,0.422360248
"Baltimore Orioles","2009",67.101667,64,0.395061728
"Baltimore Orioles","2010",81.6125,66,0.407407407
"Baltimore Orioles","2011",85.304038,69,0.425925926
"Baltimore Orioles","2012",81.428999,93,0.574074074
"Baltimore Orioles","2013",90.993333,85,0.524691358
"Baltimore Orioles","2014",107.406623,96,0.592592593
